"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.03.2024","3.304,09","3.291,70","3.304,09","3.280,03","","0,56%"
"26.03.2024","3.285,54","3.286,20","3.291,00","3.275,80","","0,12%"
"25.03.2024","3.281,63","3.251,24","3.281,63","3.234,95","","0,25%"
"22.03.2024","3.273,49","3.289,28","3.299,19","3.260,39","","-0,40%"
"21.03.2024","3.286,69","3.286,75","3.297,46","3.259,03","","0,60%"
"20.03.2024","3.267,10","3.268,87","3.286,72","3.257,72","","0,07%"
"19.03.2024","3.264,97","3.293,93","3.303,52","3.254,30","","-0,95%"
"18.03.2024","3.296,30","3.305,67","3.313,05","3.292,00","","-0,11%"
"15.03.2024","3.300,07","3.295,15","3.313,42","3.292,13","","0,09%"
"14.03.2024","3.297,00","3.314,66","3.318,49","3.287,86","","-0,71%"
"13.03.2024","3.320,68","3.337,56","3.343,56","3.317,19","","-0,36%"
"12.03.2024","3.332,60","3.320,18","3.335,41","3.304,49","","0,37%"
"11.03.2024","3.320,31","3.329,72","3.340,37","3.318,90","","0,14%"
"07.03.2024","3.315,68","3.309,31","3.317,73","3.303,93","","0,15%"
"06.03.2024","3.310,58","3.298,86","3.318,14","3.289,25","","0,29%"
"05.03.2024","3.300,89","3.305,79","3.312,41","3.283,59","","0,13%"
"04.03.2024","3.296,75","3.278,01","3.298,63","3.277,85","","0,92%"
"01.03.2024","3.266,66","3.259,00","3.269,28","3.249,69","","0,30%"
"29.02.2024","3.256,80","3.233,03","3.258,14","3.224,09","","0,92%"
"28.02.2024","3.227,05","3.215,53","3.240,29","3.213,36","","0,56%"
"27.02.2024","3.208,99","3.220,26","3.224,52","3.203,58","","-0,13%"
"26.02.2024","3.213,17","3.186,06","3.213,17","3.186,06","","2,26%"
"22.02.2024","3.142,30","3.152,75","3.166,86","3.141,88","","0,09%"
"21.02.2024","3.139,50","3.173,01","3.185,80","3.135,80","","-2,12%"
"20.02.2024","3.207,49","3.236,85","3.237,34","3.206,07","","-1,14%"
"19.02.2024","3.244,56","3.247,46","3.253,02","3.234,10","","0,06%"
"16.02.2024","3.242,48","3.269,84","3.275,23","3.236,42","","-0,71%"
"15.02.2024","3.265,63","3.249,78","3.265,83","3.238,83","","0,23%"
"14.02.2024","3.258,14","3.261,52","3.267,88","3.251,76","","0,11%"
"13.02.2024","3.254,60","3.250,30","3.259,69","3.245,02","","0,19%"
"12.02.2024","3.248,50","3.241,57","3.248,50","3.227,70","","0,19%"
"09.02.2024","3.242,38","3.231,30","3.242,38","3.219,56","","0,02%"
"08.02.2024","3.241,81","3.261,18","3.266,45","3.236,79","","-0,45%"
"07.02.2024","3.256,58","3.240,57","3.259,24","3.240,16","","0,56%"
"06.02.2024","3.238,40","3.234,44","3.238,40","3.228,78","","0,36%"
"05.02.2024","3.226,79","3.218,91","3.232,38","3.218,91","","0,01%"
"02.02.2024","3.226,35","3.229,48","3.232,35","3.215,00","","-0,11%"
"01.02.2024","3.229,89","3.220,43","3.233,21","3.220,38","","0,49%"
"31.01.2024","3.214,19","3.201,48","3.219,41","3.198,83","","0,57%"
"30.01.2024","3.196,08","3.181,75","3.196,15","3.178,82","","0,61%"
"29.01.2024","3.176,61","3.169,57","3.184,15","3.169,57","","0,42%"
"26.01.2024","3.163,21","3.164,55","3.171,95","3.157,76","","0,17%"
"25.01.2024","3.157,74","3.163,36","3.166,95","3.143,89","","-0,15%"
"24.01.2024","3.162,41","3.176,59","3.183,70","3.152,96","","-0,42%"
"23.01.2024","3.175,74","3.176,19","3.179,75","3.166,66","","0,11%"
"22.01.2024","3.172,15","3.161,44","3.179,11","3.157,37","","0,18%"
"19.01.2024","3.166,37","3.176,13","3.179,21","3.154,46","","-0,39%"
"18.01.2024","3.178,85","3.188,71","3.193,54","3.176,72","","-0,20%"
"17.01.2024","3.185,23","3.174,87","3.189,26","3.169,99","","0,18%"
"16.01.2024","3.179,45","3.186,77","3.187,14","3.162,98","","-0,17%"
"15.01.2024","3.184,88","3.190,62","3.200,78","3.176,73","","-0,01%"
"12.01.2024","3.185,22","3.182,50","3.196,98","3.176,09","","0,12%"
"11.01.2024","3.181,25","3.158,30","3.181,25","3.148,50","","0,52%"
"10.01.2024","3.164,70","3.158,35","3.174,28","3.156,44","","0,29%"
"09.01.2024","3.155,55","3.156,17","3.158,72","3.143,03","","-0,10%"
"08.01.2024","3.158,58","3.140,12","3.158,82","3.139,37","","0,71%"
"05.01.2024","3.136,37","3.138,27","3.142,80","3.128,16","","0,01%"
"04.01.2024","3.136,07","3.140,66","3.144,25","3.133,93","","0,19%"
"03.01.2024","3.130,23","3.099,78","3.132,76","3.099,10","","1,00%"
"29.12.2023","3.099,11","3.092,66","3.102,08","3.086,26","","-0,09%"
"28.12.2023","3.101,99","3.099,56","3.101,99","3.081,98","","0,15%"
"27.12.2023","3.097,49","3.100,99","3.112,19","3.097,31","","0,09%"
"26.12.2023","3.094,72","3.090,39","3.098,69","3.080,92","","-0,14%"
"25.12.2023","3.099,02","3.095,42","3.108,14","3.086,89","","0,21%"
"22.12.2023","3.092,58","3.076,31","3.102,75","3.075,56","","0,62%"
"21.12.2023","3.073,57","3.093,46","3.095,01","3.050,00","","-1,00%"
"20.12.2023","3.104,66","3.091,35","3.113,92","3.088,74","","0,68%"
"19.12.2023","3.083,64","3.084,12","3.091,26","3.066,34","","0,24%"
"18.12.2023","3.076,26","3.052,14","3.090,04","3.048,82","","1,40%"
"15.12.2023","3.033,89","2.959,29","3.037,29","2.959,29","","0,83%"
"14.12.2023","3.008,84","3.046,43","3.057,08","3.005,94","","-0,77%"
"13.12.2023","3.032,22","3.011,99","3.043,42","3.002,38","","0,41%"
"12.12.2023","3.019,89","3.020,61","3.046,81","2.992,50","","-0,21%"
"11.12.2023","3.026,17","3.081,88","3.082,30","3.025,74","","-1,75%"
"08.12.2023","3.079,99","3.079,88","3.100,22","3.067,46","","0,21%"
"07.12.2023","3.073,63","3.065,93","3.084,50","3.041,11","","-0,19%"
"06.12.2023","3.079,50","3.139,89","3.146,52","3.077,94","","-1,59%"
"05.12.2023","3.129,33","3.102,30","3.134,57","3.090,31","","0,48%"
"04.12.2023","3.114,41","3.123,18","3.126,55","3.096,28","","-0,89%"
"01.12.2023","3.142,29","3.155,87","3.162,97","3.136,56","","-0,74%"
"30.11.2023","3.165,79","3.176,50","3.176,53","3.146,53","","-0,24%"
"29.11.2023","3.173,52","3.196,75","3.200,33","3.173,37","","-0,71%"
"28.11.2023","3.196,36","3.189,16","3.197,61","3.157,55","","0,17%"
"27.11.2023","3.191,05","3.220,25","3.224,61","3.178,20","","-0,83%"
"24.11.2023","3.217,76","3.223,75","3.231,77","3.203,62","","-0,10%"
"23.11.2023","3.221,05","3.233,09","3.238,81","3.218,72","","-0,30%"
"22.11.2023","3.230,65","3.221,90","3.239,17","3.220,37","","0,38%"
"21.11.2023","3.218,48","3.198,73","3.219,11","3.193,46","","0,35%"
"20.11.2023","3.207,36","3.205,73","3.216,73","3.194,40","","0,03%"
"17.11.2023","3.206,34","3.172,78","3.208,17","3.151,95","","0,54%"
"16.11.2023","3.189,08","3.209,33","3.215,93","3.184,97","","-0,81%"
"15.11.2023","3.215,11","3.195,43","3.221,22","3.182,78","","0,08%"
"14.11.2023","3.212,39","3.236,48","3.236,48","3.192,32","","-1,10%"
"13.11.2023","3.248,27","3.241,31","3.251,74","3.235,06","","0,19%"
"10.11.2023","3.242,06","3.236,03","3.246,31","3.229,10","","0,07%"
"09.11.2023","3.239,92","3.241,50","3.245,11","3.222,34","","-0,17%"
"08.11.2023","3.245,43","3.238,81","3.257,32","3.233,11","","-0,03%"
"07.11.2023","3.246,34","3.239,98","3.246,65","3.228,46","","0,35%"
"06.11.2023","3.235,11","3.207,47","3.237,09","3.207,10","","0,83%"
"03.11.2023","3.208,63","3.207,04","3.212,81","3.182,17","","0,36%"
"02.11.2023","3.197,22","3.216,92","3.228,46","3.197,22","","-0,29%"
"01.11.2023","3.206,52","3.192,96","3.214,83","3.191,34","","0,17%"
"31.10.2023","3.200,97","3.221,08","3.226,88","3.176,53","","-0,81%"
"30.10.2023","3.227,07","3.232,82","3.246,00","3.219,70","","0,09%"
"27.10.2023","3.224,18","3.219,49","3.241,55","3.185,84","","0,01%"
"26.10.2023","3.223,89","3.272,71","3.283,49","3.221,79","","-1,27%"
"25.10.2023","3.265,28","3.265,18","3.269,76","3.243,25","","0,01%"
"24.10.2023","3.265,01","3.256,29","3.266,59","3.237,08","","0,04%"
"23.10.2023","3.263,68","3.271,76","3.283,80","3.248,39","","-0,17%"
"20.10.2023","3.269,27","3.257,85","3.269,71","3.236,31","","0,43%"
"19.10.2023","3.255,16","3.245,26","3.260,45","3.232,16","","0,18%"
"18.10.2023","3.249,21","3.252,31","3.262,54","3.225,44","","0,06%"
"17.10.2023","3.247,15","3.239,37","3.252,55","3.228,11","","0,38%"
"16.10.2023","3.234,78","3.204,81","3.235,66","3.202,94","","1,33%"
"13.10.2023","3.192,33","3.182,47","3.195,23","3.176,17","","0,56%"
"12.10.2023","3.174,66","3.130,04","3.178,50","3.122,58","","-0,61%"
"11.10.2023","3.194,12","3.174,99","3.196,44","3.168,29","","0,54%"
"10.10.2023","3.177,03","3.175,08","3.182,08","3.162,61","","0,09%"
"09.10.2023","3.174,02","3.166,21","3.185,86","3.164,63","","0,93%"
"06.10.2023","3.144,89","3.138,87","3.145,01","3.121,00","","0,42%"
"05.10.2023","3.131,76","3.126,71","3.138,50","3.112,96","","-0,08%"
"04.10.2023","3.134,25","3.138,62","3.154,97","3.130,03","","-0,31%"
