"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"03.10.2023","3.143,88","3.134,45","3.146,33","3.103,63","","0,37%"
"02.10.2023","3.132,33","3.141,69","3.162,53","3.125,58","","-0,03%"
"29.09.2023","3.133,26","3.121,07","3.141,12","3.106,97","","0,81%"
"28.09.2023","3.108,07","3.080,81","3.108,07","3.076,64","","1,32%"
"27.09.2023","3.067,61","3.053,37","3.081,41","3.052,59","","0,51%"
"26.09.2023","3.051,91","3.034,23","3.051,91","3.001,92","","0,21%"
"25.09.2023","3.045,39","3.051,85","3.056,23","3.025,89","","-0,12%"
"22.09.2023","3.049,07","3.009,87","3.051,69","2.988,04","","0,99%"
"21.09.2023","3.019,22","3.058,20","3.062,68","3.009,89","","-1,59%"
"20.09.2023","3.068,15","3.061,18","3.091,05","3.013,75","","-0,51%"
"19.09.2023","3.083,85","3.134,37","3.141,38","3.054,25","","-1,64%"
"18.09.2023","3.135,18","3.165,06","3.177,23","3.127,37","","-0,55%"
"15.09.2023","3.152,53","3.126,57","3.155,45","3.116,72","","0,42%"
"14.09.2023","3.139,49","3.144,29","3.148,50","3.072,82","","-0,28%"
"13.09.2023","3.148,32","3.189,08","3.191,57","3.148,32","","-0,56%"
"12.09.2023","3.165,92","3.118,14","3.165,92","3.117,70","","1,39%"
"11.09.2023","3.122,37","3.145,26","3.153,61","3.106,92","","-0,65%"
"08.09.2023","3.142,88","3.178,44","3.188,77","3.114,39","","-0,83%"
"07.09.2023","3.169,07","3.247,90","3.262,73","3.145,25","","-2,35%"
"06.09.2023","3.245,47","3.270,84","3.270,84","3.236,79","","-0,58%"
"05.09.2023","3.264,43","3.273,39","3.287,34","3.246,46","","-0,14%"
"04.09.2023","3.268,97","3.242,49","3.268,97","3.242,40","","1,16%"
"01.09.2023","3.231,35","3.230,53","3.232,92","3.214,95","","0,10%"
"31.08.2023","3.227,99","3.218,48","3.234,68","3.211,94","","0,48%"
"30.08.2023","3.212,68","3.214,11","3.220,85","3.193,18","","0,04%"
"29.08.2023","3.211,36","3.205,06","3.218,40","3.191,31","","0,40%"
"28.08.2023","3.198,72","3.161,36","3.202,24","3.161,36","","1,31%"
"25.08.2023","3.157,33","3.150,03","3.158,61","3.132,07","","0,64%"
"24.08.2023","3.137,37","3.117,02","3.137,37","3.108,17","","-0,28%"
"23.08.2023","3.146,20","3.180,39","3.184,17","3.113,24","","-0,57%"
"22.08.2023","3.164,25","3.146,42","3.172,30","3.124,19","","0,77%"
"21.08.2023","3.139,93","3.139,29","3.150,61","3.122,37","","0,92%"
"18.08.2023","3.111,22","3.077,78","3.111,22","3.058,01","","1,71%"
"17.08.2023","3.059,02","3.069,81","3.076,31","3.031,73","","0,31%"
"16.08.2023","3.049,46","3.109,46","3.122,34","3.015,57","","-2,11%"
"15.08.2023","3.115,25","3.083,32","3.163,74","3.068,66","","-0,50%"
"14.08.2023","3.131,00","3.186,47","3.225,78","3.117,31","","-0,78%"
"11.08.2023","3.155,51","3.158,59","3.163,47","3.138,04","","0,21%"
"10.08.2023","3.148,86","3.122,06","3.148,86","3.115,85","","1,59%"
"09.08.2023","3.099,52","3.106,03","3.120,25","3.083,77","","0,46%"
"08.08.2023","3.085,31","3.077,63","3.092,54","3.026,72","","0,04%"
"07.08.2023","3.084,08","3.120,54","3.153,60","3.084,08","","-0,27%"
"04.08.2023","3.092,44","3.158,53","3.194,83","3.073,69","","-1,76%"
"03.08.2023","3.147,80","3.111,70","3.150,28","3.094,27","","1,33%"
"02.08.2023","3.106,46","3.096,72","3.123,45","3.080,63","","0,41%"
"01.08.2023","3.093,64","3.085,97","3.114,56","3.055,25","","0,66%"
"31.07.2023","3.073,50","3.026,93","3.073,50","3.026,93","","2,16%"
"28.07.2023","3.008,61","2.986,35","3.008,61","2.978,12","","0,69%"
"27.07.2023","2.987,85","2.975,52","2.992,47","2.975,52","","0,59%"
"26.07.2023","2.970,42","2.974,21","2.982,47","2.954,90","","-0,17%"
"25.07.2023","2.975,36","2.948,87","2.975,36","2.943,74","","1,29%"
"24.07.2023","2.937,47","2.929,23","2.947,17","2.925,10","","0,48%"
"21.07.2023","2.923,54","2.890,45","2.925,54","2.889,78","","0,21%"
"20.07.2023","2.917,48","2.947,08","2.947,29","2.905,02","","-0,88%"
"19.07.2023","2.943,43","2.959,41","2.966,72","2.938,66","","-0,38%"
"18.07.2023","2.954,52","2.923,69","2.955,81","2.922,74","","1,27%"
"17.07.2023","2.917,61","2.889,09","2.917,72","2.880,11","","0,51%"
"14.07.2023","2.902,72","2.882,96","2.902,72","2.874,44","","0,59%"
"13.07.2023","2.885,63","2.899,98","2.912,15","2.873,00","","-0,39%"
"12.07.2023","2.896,83","2.870,61","2.897,28","2.870,61","","1,28%"
"11.07.2023","2.860,33","2.865,64","2.867,36","2.851,01","","0,12%"
"10.07.2023","2.856,76","2.838,85","2.864,32","2.838,52","","0,86%"
"07.07.2023","2.832,51","2.823,89","2.832,82","2.814,38","","0,46%"
"06.07.2023","2.819,60","2.816,74","2.837,49","2.813,38","","0,52%"
"05.07.2023","2.805,00","2.795,40","2.813,76","2.795,40","","-0,11%"
"04.07.2023","2.808,22","2.798,02","2.808,22","2.776,79","","0,51%"
"03.07.2023","2.793,93","2.795,58","2.804,93","2.790,81","","-0,12%"
"30.06.2023","2.797,37","2.796,00","2.800,12","2.779,61","","0,03%"
"29.06.2023","2.796,41","2.790,27","2.804,80","2.783,53","","0,56%"
"28.06.2023","2.780,92","2.781,10","2.787,52","2.766,93","","0,15%"
"27.06.2023","2.776,63","2.759,61","2.785,33","2.743,07","","0,71%"
"26.06.2023","2.757,13","2.771,52","2.784,28","2.741,33","","-1,36%"
"23.06.2023","2.795,06","2.790,04","2.795,06","2.767,82","","-0,74%"
"22.06.2023","2.815,83","2.817,30","2.820,43","2.805,92","","-0,12%"
"21.06.2023","2.819,30","2.808,87","2.821,88","2.794,68","","0,56%"
"20.06.2023","2.803,69","2.810,14","2.814,72","2.778,00","","-0,40%"
"19.06.2023","2.815,07","2.808,04","2.816,57","2.783,69","","0,51%"
"16.06.2023","2.800,79","2.809,28","2.813,74","2.783,71","","0,02%"
"15.06.2023","2.800,17","2.776,77","2.809,42","2.764,89","","1,27%"
"14.06.2023","2.765,18","2.777,20","2.786,06","2.758,35","","0,29%"
"13.06.2023","2.757,28","2.715,31","2.757,28","2.715,15","","1,82%"
"09.06.2023","2.708,04","2.717,20","2.721,84","2.705,24","","-0,06%"
"08.06.2023","2.709,69","2.693,60","2.709,69","2.688,31","","0,56%"
"07.06.2023","2.694,69","2.690,94","2.711,72","2.674,11","","0,50%"
"06.06.2023","2.681,25","2.667,76","2.687,41","2.628,00","","-0,48%"
